GATE_CC_UW: 1068.717,758.1407,836.0717,755.5908,0,0
GATE_HI_CC: -739.2844,-779.8593,-617.9283,-703.4092,1,0
GATE_SI_CC: -924.2844,847.1407,-640.9283,805.5908,0,0
CC_S04: -872.922,707.2844,-600.022,678.2158,0,0
CC_C09: -556.1119,819.072,-506.342,788.6945,0,1
CC_C12: -198.1118,1108.072,-129.3419,930.6945,0,1
CC_A06: -194.1118,837.072,-119.3419,772.6945,0,1
CC_H01: 456.8885,839.072,75.65792,756.6945,0,1
CC_C07: -206.1118,576.072,-123.3419,419.6941,0,1
CC_B04: 433.8882,637.072,452.658,368.6941,1,1
CC_S05: 433.0493,628.7988,312.3209,447.7013,2,0
CC_D01: 429.8882,295.0717,322.6581,63.69417,2,1
CC_C13: 124.1883,258.6595,4.737418,139.9513,2,1
CC_A15: -202.1118,261.0719,-110.3419,127.694,0,1
CC_B08: -196.1118,-208.9284,-113.3419,-145.3059,0,1
CC_B05: -278.1118,-425.9282,-250.342,-287.3059,0,1
CC_A10: -418.1118,-34.92828,-363.342,113.6941,1,1
CC_B01: -420.1118,-247.928,-369.342,-118.306,1,1
CC_B06: -423.1118,-515.928,-368.342,-330.3059,2,1
CC_C04: 550.8883,333.0716,570.658,173.6941,1,1
CC_B13: 755.932,141.9463,698.6107,105.9355,1,1
CC_C05: 943.8883,97.07187,821.6579,38.69415,1,1
CC_B10: 931.8883,-94.92804,990.6571,-76.3058,2,1
CC_A12: -904.1122,-605.928,-775.3421,-437.3059,1,0
CC_S01: -984.6279,-602.4216,-895.022,-432.7844,1,0
CC_A02: -749.1122,-582.928,-630.3421,-456.3059,1,1
CC_A16: -751.1122,-695.928,-623.3421,-586.3055,1,0
CC_C08: -425.1118,-589.928,-486.342,-443.3059,1,1
CC_A07: -94.11192,-592.928,-126.3419,-442.3059,1,1
CC_C11: 75.88827,-485.9282,39.65791,-475.3059,1,1
CC_B12: 236.3506,-283.989,206.0889,-201.9676,1,1
CC_F01: 569.9578,-284.2609,392.533,-194.2287,1,1
CC_C03: 517.8878,-469.9282,473.658,-445.3059,2,1
CC_A17: 704.6842,-588.8948,613.4211,-549.0789,1,1
CC_S03: 630.3721,-591.4216,613.978,-424.7844,2,0
CC_B11: 286.8882,-587.928,236.658,-422.3059,2,1
CC_B14: 902.6632,-286.9221,787.6904,-224.085,1,1
OffScreenDen_CC: -517.1117,413.0718,-600.3421,-91.30593,1,1
Connection: GATE_CC_UW,CC_H01,2,9,327,11,2,0
Connection: GATE_HI_CC,CC_A16,11,19,15,3,1,3
Connection: GATE_SI_CC,CC_C09,45,9,3,18,0,2
Connection: GATE_SI_CC,CC_S04,36,5,19,24,3,2
Connection: CC_C09,CC_A06,134,12,8,8,3,3
Connection: CC_C12,CC_A06,45,16,27,29,3,3
Connection: CC_A06,CC_H01,43,8,5,8,3,3
Connection: CC_A06,CC_C07,27,5,44,108,3,3
Connection: CC_C07,CC_A15,47,17,25,21,3,0
Connection: CC_B04,CC_S05,23,58,23,25,3,1
Connection: CC_B04,CC_D01,10,11,13,141,3,2
Connection: CC_B04,CC_C04,38,11,11,108,3,3
Connection: CC_D01,CC_C13,13,56,149,14,2,0
Connection: CC_D01,CC_C04,34,53,17,14,0,3
Connection: CC_C13,CC_A15,4,17,25,17,2,0
Connection: CC_A15,CC_B08,25,15,10,72,0,3
Connection: CC_B08,CC_B05,20,3,90,29,3,3
Connection: CC_B05,CC_B06,14,11,27,52,3,3
Connection: CC_A10,CC_B01,16,5,33,65,3,3
Connection: CC_B01,CC_B06,24,15,24,75,3,1
Connection: CC_B06,CC_C08,27,10,89,13,3,2
Connection: CC_C04,CC_B13,38,13,4,55,3,3
Connection: CC_B13,CC_C05,34,14,10,49,3,3
Connection: CC_C05,CC_B10,33,10,27,52,3,3
Connection: CC_B10,CC_B14,27,10,37,73,3,3
Connection: CC_A12,CC_S01,11,19,29,18,2,0
Connection: CC_A12,CC_A02,36,18,3,11,0,2
Connection: CC_A02,CC_C08,48,12,11,14,0,2
Connection: CC_A02,CC_A16,19,2,17,35,3,1
Connection: CC_C08,CC_A07,142,14,4,11,0,2
Connection: CC_A07,CC_C11,33,4,21,11,3,3
Connection: CC_C11,CC_B12,43,95,2,73,3,3
Connection: CC_C11,CC_B11,39,20,7,11,0,2
Connection: CC_B12,CC_F01,41,56,8,63,3,3
Connection: CC_F01,CC_B14,148,73,7,63,3,3
Connection: CC_F01,CC_C03,73,28,32,107,2,0
Connection: CC_C03,CC_S03,47,10,20,9,0,2
Connection: CC_C03,CC_B11,6,8,101,6,2,0
Connection: CC_C03,CC_A17,47,8,3,6,0,2
