GATE_GW_SL: 2370.529,127.9348,2011.223,200.5149,1,0
GATE_HI_GW: -2150.47,184.9346,-1605.777,151.5149,1,0
GATE_DS_GW: -1701.471,-365.0652,-1324.777,-860.4849,0,0
GW_S05: -1564.591,-389.0341,-1215.684,-876.4617,1,0
GW_S04: 2306.945,17.10551,1970.223,79.51475,1,0
GW_S03: -2015.055,182.1052,-1463.777,283.5148,1,0
GW_C06: -343.587,73.40057,-343.2869,571.3503,2,1
GW_S02: -168.1274,59.69798,-188.9085,621.5942,2,0
GW_E02: 172.4128,189.4004,-190.287,750.3503,2,1
GW_B02: 701.4133,146.4004,396.7132,649.3503,2,1
GW_C03: 1022.413,177.4004,573.7136,738.3503,2,1
GW_C05: 1489.413,172.4004,923.7133,740.3503,2,1
GW_A24: 1804.302,170.717,1240.151,739.7736,2,1
GW_B05: 841.4128,-3.599344,529.7136,527.3503,2,1
GW_A20: 994.4235,56.00932,647.7296,598.4474,2,1
GW_A21: 1145.19,56.17953,766.5167,599.0005,2,1
GW_S07: 711.5757,18.61807,426.9899,602.3384,2,0
GW_A19: 550.4133,86.40063,247.7132,629.3503,2,1
GW_B01: -1784.587,101.4006,-1455.287,135.3505,1,1
GW_A01: -1538.587,95.40076,-1196.287,135.3505,1,1
GW_C01: -1226.587,109.4005,-1060.287,147.3505,1,1
GW_B04: -896.5867,35.40063,-620.2864,60.35065,1,1
GW_A12: -872.5867,165.4004,-604.2864,299.3504,1,1
GW_A05: -1387.587,-11.59935,-1078.287,-139.6494,2,1
GW_A08: -1165.587,-36.59937,-955.2864,-138.6496,2,1
GW_A06: -951.5867,-39.59937,-820.2864,-137.6494,2,1
GW_S01: -938.5867,34.40067,-809.2864,-2.649476,2,0
GW_A07: -690.5872,-38.59937,-621.2864,-135.6494,2,1
GW_A10: -514.5869,-47.59934,-461.2868,-136.6494,2,1
GW_D01: -492.587,71.40057,-412.287,140.3505,1,1
GW_B03: -106.5871,20.40063,54.71309,44.35043,1,1
GW_A14: -86.5871,-127.5993,59.71309,-113.6494,1,1
GW_B07: 10.41333,54.40074,271.7128,-495.6496,0,1
GW_A04: -124.587,28.40064,125.7131,-481.6496,0,1
GW_S06: -130.1355,-79.69308,131.634,-611.439,0,0
GW_C08: 355.4135,-188.5996,254.7132,-711.6497,0,1
GW_C02: 216.4128,80.40057,210.7127,136.3505,1,1
GW_A13: 548.4133,55.40063,610.7136,61.35049,1,1
GW_A11: 551.4133,154.4004,590.7136,291.3504,1,1
GW_S08: 551.8403,58.50541,606.1317,176.466,0,0
GW_B06: 674.4133,-67.59935,763.7147,-8.649436,1,1
GW_A22: 833.8232,-9.178033,891.5222,77.22673,1,1
GW_A23: 1002.683,-5.318111,1022.622,75.42665,1,1
GW_C11: 1316.252,-4.341273,1149.786,77.08379,1,1
GW_C04: 1708.413,125.4006,1406.714,200.3505,1,1
GW_B08: 2127.414,126.4006,1748.714,182.3505,1,0
GW_B09: -1472.587,-386.5992,-1208.287,-940.6497,0,1
GW_D02: -1004.586,-395.5992,-938.2864,-946.6497,0,1
