GATE_SI_LF: 1046.411,1123.231,839.2823,1064.126,1,0
GATE_LF_SB: -2542.588,257.2305,-2023.718,349.1266,1,0
GATE_LF_SU: 1347.414,-541.7697,1206.282,-447.8734,1,0
LF_S04: -2479.952,156.9349,-1980.172,240.3083,1,0
LF_C05: 1182.801,988.4529,955.0491,886.9282,1,1
LF_A07: 1182.313,764.6964,953.0953,761.4276,1,1
LF_F02: 1132.313,490.6967,858.0958,445.4276,1,1
LF_A04: 934.3112,277.6967,787.0958,318.4276,1,1
LF_S02: 1256.313,215.6969,914.0958,302.4276,1,0
LF_A06: 1323.313,267.6967,1045.094,314.4276,1,1
LF_E04: 527.3115,380.6966,85.09557,417.4276,1,1
LF_A03: 106.3111,270.6967,-28.90429,300.4276,1,1
LF_H01: -543.6888,381.6969,-887.9042,421.4276,1,1
LF_A15: -625.1741,297.4512,-560.6165,291.1754,1,1
LF_S06: -624.1429,192.8367,-560.3264,164.5714,1,0
LF_A05: -1184.687,273.6972,-962.9042,197.4276,1,1
LF_J01: -1619.687,327.6969,-1510.906,344.4276,1,1
LF_C03: -2233.686,254.6967,-1897.906,341.4276,1,1
LF_D03: 1535.313,288.6969,1285.094,145.4275,1,1
LF_E02: 818.3112,213.6969,740.0958,173.4276,0,1
LF_E03: 42.31106,213.6969,96.0956,184.4277,0,1
LF_A10: -425.6891,214.6969,-140.9046,170.4276,0,1
LF_D02: -690.6888,149.6969,-440.9046,68.42716,2,1
LF_D06: -918.6874,-161.3031,-651.9042,-224.5724,2,1
LF_S01: -973.6871,38.69691,-771.9042,43.42729,2,0
LF_E01: -119.6886,84.69671,-152.9046,-124.5723,2,1
LF_D01: 601.3112,82.69671,523.0961,-32.57277,2,1
LF_B02: 1010.313,18.69678,1207.094,-112.5726,2,1
LF_A17: 829.5446,-32.55909,1089.736,-85.67873,2,1
LF_C01: 1082.313,-443.3033,835.0958,-284.5724,0,1
LF_B03: 689.3112,-442.3031,572.0958,-285.5724,0,1
LF_B05: 759.3112,-507.3031,668.1957,-490.0474,1,1
LF_D04: 973.3118,-622.3029,831.0958,-572.5724,1,1
LF_A14: 1201.313,-559.3029,1089.094,-458.5724,1,0
LF_S05: 1192.572,-632.8043,1094.958,-578.9523,1,0
LF_A11: 652.3112,-675.3029,661.0958,-617.5724,1,1
LF_A13: 528.3115,-544.3029,532.0958,-468.5724,1,1
LF_A12: 471.3112,-658.3026,468.0958,-600.5724,1,1
LF_B01: 338.3112,-350.3028,196.0954,-591.5724,1,1
LF_D07: -98.82007,-414.643,-318.2366,-586.7388,1,1
LF_C02: 314.3109,-439.3034,201.0954,-280.5724,0,1
LF_A02: -14.68893,-439.3033,79.09557,-276.5726,0,1
LF_H02: -366.6888,-393.3033,-403.9042,-289.5724,0,1
LF_A01: -780.6888,-323.3033,-537.9047,-222.5725,0,1
LF_E05: -1225.689,-323.3033,-1206.906,-200.5725,0,1
LF_B04: -1747.687,-316.3033,-1440.906,-199.5724,1,1
LF_D08: -1594.918,-144.8411,-1349.958,-24.76664,1,1
LF_S03: -1918.687,-339.3033,-1561.906,-214.5724,1,0
OffScreenDen_LF: -348.6891,1077.697,-420.9042,325.4276,1,1
Connection: GATE_SI_LF,LF_C05,45,9,6,97,0,2
Connection: GATE_LF_SB,LF_C03,45,11,4,15,0,2
Connection: GATE_LF_SB,LF_S04,36,5,15,20,3,2
Connection: GATE_LF_SU,LF_A14,2,9,44,15,2,0
Connection: LF_C05,LF_A07,23,8,23,30,3,1
Connection: LF_A07,LF_F02,9,2,57,95,3,3
Connection: LF_F02,LF_A04,8,11,42,30,3,1
Connection: LF_F02,LF_A06,99,11,5,29,3,1
Connection: LF_A04,LF_E04,5,30,254,5,1,3
Connection: LF_S02,LF_A06,22,14,5,3,0,3
Connection: LF_A06,LF_D03,42,27,2,51,1,2
Connection: LF_E04,LF_A03,17,3,44,32,3,1
Connection: LF_A03,LF_H01,3,30,410,10,1,3
Connection: LF_H01,LF_A05,21,3,43,29,3,1
Connection: LF_H01,LF_A15,194,6,30,27,3,1
Connection: LF_A15,LF_S06,7,7,7,23,3,1
Connection: LF_A05,LF_J01,3,28,253,43,1,3
Connection: LF_A05,LF_D08,9,3,199,31,2,1
Connection: LF_J01,LF_C03,18,8,141,11,3,3
Connection: LF_D03,LF_E02,10,4,221,1,3,3
Connection: LF_E02,LF_E03,8,8,241,1,3,0
Connection: LF_E03,LF_A10,7,7,40,1,3,0
Connection: LF_A10,LF_D02,6,1,97,49,2,3
Connection: LF_D02,LF_D06,7,1,42,141,2,0
Connection: LF_D02,LF_E01,98,6,14,7,3,3
Connection: LF_D06,LF_S01,8,143,22,18,1,0
Connection: LF_D06,LF_A01,42,12,7,10,3,2
Connection: LF_E01,LF_D01,239,2,15,2,3,3
Connection: LF_D01,LF_B02,197,7,8,45,3,3
Connection: LF_B02,LF_A17,2,16,48,11,2,0
Connection: LF_B02,LF_C01,18,4,152,15,3,3
Connection: LF_C01,LF_B03,4,21,97,21,2,0
Connection: LF_B03,LF_C02,3,21,150,20,2,0
Connection: LF_B03,LF_B05,46,5,5,48,0,2
Connection: LF_B05,LF_D04,39,13,3,51,0,3
Connection: LF_D04,LF_A14,100,55,5,12,3,3
Connection: LF_D04,LF_A11,6,12,43,15,2,0
Connection: LF_A14,LF_S05,11,12,14,26,3,1
Connection: LF_A11,LF_A13,2,29,43,6,1,3
Connection: LF_A11,LF_A12,5,13,42,5,2,0
Connection: LF_A13,LF_C02,2,31,126,5,1,0
Connection: LF_A13,LF_A12,7,6,26,30,3,1
Connection: LF_A12,LF_B01,5,29,44,58,1,3
Connection: LF_B01,LF_D07,18,54,189,20,3,3
Connection: LF_C02,LF_A02,4,20,45,19,2,0
Connection: LF_A02,LF_H02,4,6,203,12,2,0
Connection: LF_H02,LF_A01,19,51,50,10,2,0
Connection: LF_A01,LF_E05,4,26,253,25,2,0
Connection: LF_E05,LF_B04,15,10,96,8,2,0
Connection: LF_B04,LF_D08,4,32,3,6,2,2
Connection: LF_B04,LF_S03,4,10,24,18,2,0
