GATE_DS_SB: 881.9802,671.725,707.4954,537.4583,2,0
GATE_SB_SL: 4534.266,710.7003,3285.535,501.1795,1,0
GATE_LF_SB: -778.7359,1476.699,-442.4644,1270.179,1,0
SB_F03: -947.2715,1171.111,-588.3268,865.6082,1,0
SB_A10: -769.0061,1232.642,-445.2047,1120.201,1,0
SB_A09: -1205.886,988.0153,-757.0657,889.0606,1,0
SB_H03: -975.2954,743.3073,-768.1808,632.4132,1,1
SB_S06: -1354.153,693.1866,-882.8984,642.4916,1,0
SB_H02: -351.2949,628.3073,-317.181,556.4132,1,1
SB_A04: -746.2951,542.3071,-443.1806,541.4135,1,1
SB_A13: -903.7142,542.6254,-553.0035,539.9826,1,1
SB_A01: -627.2951,509.3071,-368.1807,389.4134,2,1
SB_A11: -589.2333,398.0083,-360.1138,258.1092,1,1
SB_B01: -289.2947,423.3071,-229.181,255.4137,1,1
SB_A12: 11.76711,401.0083,87.88629,243.1095,1,1
SB_C01: -319.2947,516.3072,-245.181,392.4134,2,1
SB_B02: 77.70512,521.3074,70.81906,384.4134,2,1
SB_C05: 212.705,103.307,218.8192,88.41315,2,0
SB_A03: 36.70498,580.3073,127.8189,496.4132,1,1
SB_E04: 424.7049,673.3073,161.8192,629.4132,1,1
SB_C06: 462.7049,434.3074,362.8188,346.4134,2,0
SB_S03: 461.9804,429.7251,468.4958,448.4582,2,0
SB_F02: 496.7049,130.3071,351.819,62.41323,2,3
SB_D04: 735.7052,433.3071,587.8184,229.4132,2,3
SB_S04: 721.7035,712.8975,585.0291,572.4963,2,0
SB_G03: 1442.708,689.3073,709.8184,633.4132,1,1
SB_F01: 1291.708,445.307,863.8206,152.4132,2,3
SB_J01: 2363.706,727.3073,1448.82,625.4132,1,1
SB_E02: 3144.706,790.3073,2096.819,698.4132,1,1
SB_G02: 4071.706,790.3073,2664.819,698.4132,1,1
SB_S05: 4673.031,793.0182,3416.971,698.6751,1,0
SB_C07: 2545.706,677.3073,1748.82,487.413,0,1
SB_J02: 3155.706,597.3073,2093.819,403.4134,0,1
SB_J03: 2482.706,529.3071,1591.82,256.4134,1,0
SB_S02: 3014.596,460.8727,2415.478,119.7354,1,0
SB_I01: 394.7051,-227.6929,236.8192,-248.5865,2,3
SB_S01: 393.8622,-60.33961,342.4452,59.51083,1,0
SB_D06: 208.705,-606.6927,214.8192,-605.5876,2,0
SB_E05: -66.29506,-834.6927,-184.1808,-741.5868,1,2
SB_A14: -542.1526,-834.8134,-351.8983,-698.5084,1,2
SB_D02: -941.2952,-835.6927,-777.1808,-693.5868,1,2
SB_A02: -807.2948,-729.6927,-532.1805,-479.5868,2,2
SB_J04: -1421.292,-740.6927,-1126.181,-530.5868,2,2
SB_A08: -2035.292,-788.6927,-1351.18,-524.5865,2,2
SB_B03: -2198.294,-737.6927,-1497.18,-532.5865,1,2
SB_A07: -2081.292,-908.6938,-1432.18,-734.5868,1,2
SB_E03: -1631.292,-829.6927,-1317.178,-692.5868,1,2
SB_D05: -1404.292,-912.6938,-1061.181,-824.5868,0,2
SB_A06: -1367.292,-1021.693,-875.1808,-941.5865,0,2
SB_A05: -1083.295,-1019.693,-710.1805,-908.5868,0,2
SB_D03: -2579.294,-809.6927,-1943.18,-538.5865,1,2
SB_D07: -2884.294,-1091.694,-1990.18,-977.5865,1,2
SB_D01: -2599.92,-1381.059,-1879.712,-1097.144,1,2
SB_C08: -2148.234,-1428.099,-1646.914,-1094.731,1,2
SB_E01: -1491.92,-1423.059,-1330.712,-1097.144,1,2
SB_E06: -705.9215,-1434.059,-807.7123,-1102.144,1,2
SB_C09: -215.2344,-1553.099,-256.9133,-1267.731,1,2
SB_L01: 194.0786,-1792.059,-120.7123,-1434.144,1,2
OffScreenDen_SB: -375.2949,-165.6928,730.8184,40.41309,1,1
Connection: GATE_DS_SB,SB_D04,11,5,42,142,3,0
Connection: GATE_SB_SL,SB_G02,11,19,322,1,1,3
Connection: GATE_LF_SB,SB_F03,2,9,50,209,2,0
Connection: SB_F03,SB_A10,47,139,5,12,3,2
Connection: SB_F03,SB_A09,13,56,45,16,2,0
Connection: SB_F03,SB_H03,41,16,130,75,3,2
Connection: SB_A09,SB_H03,6,3,7,72,3,2
Connection: SB_H03,SB_S06,4,9,35,4,2,0
Connection: SB_H03,SB_H02,196,9,6,47,0,2
Connection: SB_H02,SB_E04,199,47,5,12,0,2
Connection: SB_H02,SB_A03,199,21,3,11,0,2
Connection: SB_H02,SB_A04,11,20,48,27,2,0
Connection: SB_A04,SB_A13,3,25,45,25,2,0
Connection: SB_A04,SB_A01,48,6,3,17,0,2
Connection: SB_A01,SB_A11,6,4,5,21,3,1
Connection: SB_A01,SB_C01,48,7,5,4,0,3
Connection: SB_A11,SB_B01,45,16,8,13,0,3
Connection: SB_B01,SB_A12,96,2,3,9,3,2
Connection: SB_A12,SB_A03,41,29,40,3,0,3
Connection: SB_C01,SB_B02,138,10,7,7,3,3
Connection: SB_B02,SB_C05,104,9,27,110,3,1
Connection: SB_C05,SB_I01,25,17,16,115,3,1
Connection: SB_A03,SB_E04,46,31,27,8,1,3
Connection: SB_E04,SB_G03,244,12,6,5,0,2
Connection: SB_E04,SB_C06,128,5,25,115,3,1
Connection: SB_C06,SB_S03,39,76,39,24,3,1
Connection: SB_C06,SB_F02,19,20,21,116,3,1
Connection: SB_F02,SB_D04,98,97,3,10,0,2
Connection: SB_F02,SB_I01,10,12,68,117,3,1
Connection: SB_D04,SB_S04,2,146,11,13,1,2
Connection: SB_G03,SB_J01,347,5,10,8,0,2
Connection: SB_G03,SB_F01,174,7,95,94,3,0
Connection: SB_F01,SB_J03,70,73,4,19,3,2
Connection: SB_F01,SB_I01,10,12,146,115,3,1
Connection: SB_J01,SB_E02,239,43,4,7,0,2
Connection: SB_J01,SB_C07,175,8,19,8,3,3
Connection: SB_E02,SB_G02,247,26,3,25,0,2
Connection: SB_E02,SB_J02,11,2,7,69,3,1
Connection: SB_G02,SB_S05,354,7,14,6,0,2
Connection: SB_C07,SB_J02,146,6,5,49,0,2
Connection: SB_J02,SB_J03,232,68,500,34,1,1
Connection: SB_J03,SB_S02,423,10,11,17,2,1
Connection: SB_I01,SB_S01,84,117,32,25,1,0
Connection: SB_I01,SB_D06,13,16,23,144,3,3
Connection: SB_D06,SB_E05,26,15,224,17,3,1
Connection: SB_E05,SB_A14,2,18,48,18,2,0
Connection: SB_A14,SB_D02,3,24,200,24,2,0
Connection: SB_D02,SB_E03,3,5,251,6,2,0
Connection: SB_D02,SB_A05,74,5,41,32,3,1
Connection: SB_D02,SB_A02,133,8,11,6,3,3
Connection: SB_A02,SB_J04,3,29,252,55,2,0
Connection: SB_J04,SB_B03,3,54,44,55,2,0
Connection: SB_J04,SB_A08,8,8,44,3,2,0
Connection: SB_J04,SB_A06,165,10,43,33,3,1
Connection: SB_A08,SB_B03,3,11,44,16,2,0
Connection: SB_B03,SB_D03,1,19,195,22,2,0
Connection: SB_B03,SB_A07,43,3,5,33,3,1
Connection: SB_A07,SB_E03,45,30,3,6,0,2
Connection: SB_E03,SB_D05,141,7,10,3,0,2
Connection: SB_D05,SB_A06,95,2,4,30,0,2
Connection: SB_D05,SB_A05,186,3,2,32,0,2
Connection: SB_D03,SB_D07,14,3,37,145,3,1
Connection: SB_D07,SB_D01,40,11,2,65,0,2
Connection: SB_D01,SB_C08,95,11,3,5,0,2
Connection: SB_C08,SB_E01,149,5,3,5,0,2
Connection: SB_E01,SB_E06,245,5,5,7,0,2
Connection: SB_E06,SB_C09,263,17,5,99,0,2
Connection: SB_C09,SB_L01,47,23,3,106,0,2
