GATE_SI_CC: 2236.154,245.9529,1848.405,368.0014,1,0
GATE_SI_LF: -559.8469,-777.0472,-409.5957,-802.9985,0,0
SI_S03: -643.4579,-867.2416,-517.5958,-869.6097,0,0
SI_A07: 566.2304,878.2106,491.5786,1089.182,1,2
SI_A06: 565.2304,754.2106,490.5786,923.1823,1,2
SI_B04: 563.2304,571.2106,491.5786,669.1823,1,2
SI_B02: 556.2304,382.2108,493.5786,511.1821,1,2
SI_C07: -853.7693,288.2108,-583.4218,328.1823,1,1
SI_C02: -841.7693,45.21058,-690.4218,201.1822,1,1
SI_C01: -311.7699,37.21067,-329.4214,205.1822,1,1
SI_C04: 174.2302,36.21067,57.57844,205.1822,1,1
SI_D01: 552.2304,150.2107,426.5786,230.1824,1,1
SI_C03: 951.2307,218.2108,725.5782,349.1823,1,1
SI_B01: 1364.232,217.2108,1096.579,358.1823,1,1
SI_A20: 1286.909,211.5011,1087.708,213.6985,2,1
SI_A21: 1426.909,211.5011,1225.708,217.6985,2,1
SI_D03: 1846.232,231.2108,1421.579,354.1821,1,1
SI_A17: -1006.768,42.21058,-700.4218,73.18227,2,1
SI_S04: -705.3784,-64.03098,-454.6747,-61.84647,2,0
SI_A18: -702.7696,39.21058,-453.4216,70.18227,2,1
SI_C05: -853.7693,-87.78922,-582.4218,-121.8176,2,1
SI_A28: -803.7588,-328.1353,-581.5955,-238.9986,2,1
SI_A27: 550.2304,105.2107,574.5782,30.18225,2,1
SI_S05: 440.6207,101.969,296.3255,26.15352,2,0
SI_C06: 644.2307,-20.78934,717.5782,-146.8176,2,1
SI_B10: 495.2305,-40.78946,441.5786,-51.81768,2,1
SI_B09: 577.2307,-175.7892,490.5786,-283.8177,1,1
SI_A02: 252.2301,-266.7892,328.5786,-315.8177,0,1
SI_A23: 67.23047,-267.7892,172.5784,-327.8177,0,1
SI_C08: -276.7694,-278.7892,-266.4214,-334.8177,0,1
SI_D05: -626.7698,-114.7892,-450.4214,-162.8178,0,1
SI_B11: -868.7693,-113.7892,-707.4218,-199.8176,0,1
SI_D06: -833.7693,-274.7892,-801.4218,-337.8177,0,1
SI_B12: -1224.768,24.21061,-947.4218,-108.8179,0,1
SI_B03: -1222.768,-216.7892,-939.4218,-377.8177,0,1
SI_C09: -1225.542,-543.6592,-961.7808,-692.4983,0,1
SI_D07: -912.8408,-604.0284,-789.6013,-671.4817,0,1
SI_B13: -618.2291,-603.681,-525.4995,-670.2217,0,1
OffScreenDen_SI: -22.76951,855.2106,-1186.421,354.1821,1,1
Connection: GATE_SI_CC,SI_D03,2,9,192,17,2,0
Connection: GATE_SI_LF,SI_B13,11,19,48,46,1,3
Connection: GATE_SI_LF,SI_S03,11,5,32,23,3,0
Connection: SI_A07,SI_A06,23,7,21,33,3,1
Connection: SI_A06,SI_B04,23,8,24,72,3,3
Connection: SI_B04,SI_B02,39,19,80,15,3,2
Connection: SI_B02,SI_D01,5,21,17,67,3,3
Connection: SI_C07,SI_C02,12,18,68,7,3,3
Connection: SI_C02,SI_A17,53,9,43,10,2,0
Connection: SI_C02,SI_A18,100,9,4,10,0,2
Connection: SI_C02,SI_C01,150,7,29,9,3,3
Connection: SI_C01,SI_C04,137,9,15,5,3,2
Connection: SI_C04,SI_D01,139,36,15,22,0,3
Connection: SI_C04,SI_B10,139,5,5,49,0,2
Connection: SI_D01,SI_C03,86,52,15,5,0,2
Connection: SI_D01,SI_A27,49,49,18,33,3,1
Connection: SI_D01,SI_B10,45,18,36,75,0,1
Connection: SI_C03,SI_B01,138,6,8,10,3,3
Connection: SI_B01,SI_A20,17,7,17,11,1,3
Connection: SI_B01,SI_D03,101,10,24,6,3,3
Connection: SI_A20,SI_A21,41,17,3,17,0,2
Connection: SI_A17,SI_C05,13,2,10,88,3,3
Connection: SI_S04,SI_A18,28,30,27,4,1,3
Connection: SI_A18,SI_C05,21,1,43,88,3,3
Connection: SI_C05,SI_A28,29,24,6,27,3,1
Connection: SI_A28,SI_D06,41,27,129,13,1,3
Connection: SI_A27,SI_S05,9,8,31,9,2,0
Connection: SI_A27,SI_C06,38,6,16,92,0,2
Connection: SI_C06,SI_B09,43,14,93,10,0,2
Connection: SI_B10,SI_B09,8,15,11,5,2,3
Connection: SI_B09,SI_A02,16,10,45,13,3,3
Connection: SI_A02,SI_A23,6,13,28,6,3,3
Connection: SI_A23,SI_C08,27,30,141,36,3,0
Connection: SI_C08,SI_D05,15,36,87,7,2,3
Connection: SI_C08,SI_D06,4,15,197,12,2,0
Connection: SI_D05,SI_B11,23,60,35,50,3,1
Connection: SI_D05,SI_D06,9,12,126,13,2,3
Connection: SI_B11,SI_D06,11,7,77,33,3,1
Connection: SI_D06,SI_B03,3,11,49,14,2,0
Connection: SI_B12,SI_B03,31,8,29,72,3,2
Connection: SI_B03,SI_C09,7,11,14,104,3,2
Connection: SI_C09,SI_D07,50,71,9,71,1,1
Connection: SI_D07,SI_B13,102,70,9,69,0,2
