GATE_UW_SS: 1461.637,146.0009,1056.471,138.5743,0,0
GATE_CC_UW: -2655.938,-182.399,-1975.979,-77.20063,1,0
GATE_SH_UW: 2363.933,-2338.656,2003.456,-1822.049,1,0
GATE_SS_UW: -638.6295,2463.794,-630.3528,1992.934,0,0
UW_C08: 1146.303,113.847,735.7224,116.1913,0,2
UW_C07: -956.3577,2480.167,-955.5632,2002.748,0,0
UW_H01: -1803.78,2476.164,-1789.529,1996.581,0,0
UW_A14: -2490.355,2478.167,-1907.563,1997.748,0,0
UW_A12: -2489.353,2359.476,-1907.616,1866.123,0,0
UW_F01: -2785.781,2066.163,-2101.527,1461.582,0,3
UW_A13: -2622.322,1725.558,-1916.393,1416.623,0,3
UW_S03: -2508.629,1725.793,-1797.352,1416.934,0,0
UW_E01: -2785.447,1422.264,-2102.36,1027.65,0,3
UW_A02: -2786.447,1076.263,-2104.36,879.6508,0,3
UW_J01: -2871.447,699.2634,-2221.36,426.6509,0,3
UW_A01: -2781.447,325.2639,-2107.36,299.6508,0,3
UW_D01: -2782.447,21.26392,-2100.36,-81.34906,0,3
UW_D07: -2710.447,-341.7361,-2078.36,-297.3491,0,3
UW_S04: -2619.379,-169.8127,-1962.15,38.51077,0,0
UW_C05: -2320.447,-406.7361,-1839.361,-296.3491,1,0
UW_D06: -1934.446,-334.7361,-1499.361,-305.3491,1,0
UW_S01: -1703.046,-389.9502,-1265.236,-302.157,1,0
UW_C04: -1544.446,-247.7358,-1244.361,-208.3488,0,2
UW_D05: -953.4473,-240.7358,-897.3622,-200.3491,0,2
UW_A04: -527.4473,-239.7358,-415.3616,-202.3491,0,2
UW_C02: -365.4473,-368.7361,-278.3616,-389.3491,0,2
UW_A05: -248.4474,-180.736,-196.3617,-77.34909,0,2
UW_C01: -13.44722,-292.7361,-145.3614,-200.3491,0,2
UW_A03: 259.5526,-175.736,232.6386,-80.34908,0,2
UW_J02: 676.5527,-357.7361,307.6384,-278.3491,0,2
UW_I01: 677.5527,-1.735985,412.6384,-33.34915,0,2
UW_S02: 980.9537,-116.9506,738.7647,-34.15725,0,0
UW_A10: 246.2189,3.164101,231.4722,43.58444,0,2
UW_A11: 1082.221,-8.835906,844.4713,37.58444,0,2
UW_A06: 1090.553,-184.736,849.6386,-179.3491,0,2
UW_E04: 1516.554,-296.7361,975.6389,-204.3489,0,2
UW_A08: 1944.554,-182.736,1515.639,-150.3491,0,2
UW_C03: 2213.553,-305.7361,1638.639,-218.3488,0,2
UW_D04: 2600.553,-391.7361,1966.639,-312.3491,1,0
UW_B01: 2919.22,-316.9536,2221.413,-221.5039,0,0
UW_S07: 3021.568,-196.078,2336.156,-91.92138,0,0
UW_D03: 2357.553,-700.7364,1843.639,-623.3492,1,1
UW_A09: 2693.553,-1139.736,2147.64,-763.3492,1,1
UW_S06: 2693.368,-1225.979,2056.298,-843.581,1,0
UW_E03: 2515.553,-1140.736,1952.639,-938.3487,1,1
UW_E02: 2354.553,-1660.736,1952.639,-1406.351,1,1
UW_A07: 2516.553,-1609.736,2075.64,-1215.351,1,1
UW_C06: 2690.553,-1480.736,2147.64,-1071.351,1,1
UW_D02: 2512.553,-2126.736,2078.64,-1682.351,1,1
UW_S05: 2658.552,-2293.591,2186.869,-1656.664,1,0
OffScreenDen_UW: 704.5527,66.26402,930.64,-694.3492,1,0
Connection: GATE_UW_SS,UW_C08,2,9,133,20,2,3
Connection: GATE_CC_UW,UW_D07,43,6,90,68,3,1
Connection: GATE_SH_UW,UW_D02,43,23,4,19,1,2
Connection: GATE_SS_UW,UW_C07,2,9,146,4,2,0
Connection: UW_C08,UW_I01,3,23,147,99,2,0
Connection: UW_C07,UW_H01,4,5,393,8,2,0
Connection: UW_H01,UW_A12,6,4,44,21,3,0
Connection: UW_A14,UW_A12,6,4,6,29,3,1
Connection: UW_A12,UW_F01,3,10,55,203,2,0
Connection: UW_F01,UW_A13,55,10,5,27,0,2
Connection: UW_A13,UW_S03,45,27,20,27,0,2
Connection: UW_A13,UW_E01,5,6,52,183,2,0
Connection: UW_E01,UW_A02,42,21,52,28,0,0
Connection: UW_A02,UW_J01,52,13,110,197,0,0
Connection: UW_J01,UW_A01,96,28,50,30,3,0
Connection: UW_A01,UW_D01,50,15,52,145,0,0
Connection: UW_D01,UW_D07,47,16,46,70,0,0
Connection: UW_D07,UW_S04,85,68,25,10,1,3
Connection: UW_D07,UW_C05,99,9,4,9,0,2
Connection: UW_C05,UW_D06,130,7,3,12,3,3
Connection: UW_D06,UW_C04,101,65,5,17,0,2
Connection: UW_D06,UW_S01,99,11,23,10,0,3
Connection: UW_C04,UW_D05,149,35,18,24,1,1
Connection: UW_D05,UW_A04,210,27,3,31,1,2
Connection: UW_A04,UW_C02,43,31,12,117,0,2
Connection: UW_C02,UW_A05,44,115,5,26,1,3
Connection: UW_A05,UW_C01,42,3,16,29,3,1
Connection: UW_C01,UW_A03,146,29,3,3,1,3
Connection: UW_A03,UW_A10,3,29,7,2,2,3
Connection: UW_A03,UW_J02,40,4,4,71,3,1
Connection: UW_J02,UW_I01,83,71,4,17,1,2
Connection: UW_J02,UW_A06,246,71,3,19,1,3
Connection: UW_I01,UW_A10,4,58,42,19,2,3
Connection: UW_I01,UW_A11,151,58,4,23,0,2
Connection: UW_I01,UW_S02,147,17,18,18,0,2
Connection: UW_A11,UW_A06,20,3,18,32,3,1
Connection: UW_A06,UW_E04,43,19,5,31,3,1
Connection: UW_E04,UW_A08,248,31,2,4,1,3
Connection: UW_A08,UW_C03,44,4,4,39,3,1
Connection: UW_C03,UW_D04,143,19,5,65,0,2
Connection: UW_D04,UW_B01,106,61,4,19,0,2
Connection: UW_D04,UW_D03,12,8,43,148,3,0
Connection: UW_B01,UW_S07,93,39,19,12,1,0
Connection: UW_D03,UW_E03,41,17,4,182,0,2
Connection: UW_A09,UW_E03,4,11,29,89,2,3
Connection: UW_A09,UW_S06,16,8,16,24,3,1
Connection: UW_A09,UW_C06,39,8,40,103,3,1
Connection: UW_E03,UW_E02,4,9,43,182,2,3
Connection: UW_E02,UW_A07,45,103,4,8,0,2
Connection: UW_E02,UW_D02,42,9,4,146,3,2
Connection: UW_A07,UW_C06,43,14,4,9,0,2
Connection: UW_D02,UW_S05,43,19,16,15,0,2
